bead_id,captured_at_utc,exit_code,outcome,duration_ms,model,agent,trace_events,trace_bytes,dir_bytes,timeout_reason,pruned,stderr_oom,stderr_signal
domchk-20f2666d,2026-09-07T11:19:40.653969511Z,0,success,985746,glm-5.3-flash,claude-code-glm-5.3-flash,56,27717,4797419,,False,,
domchk-20ff77f9,2026-09-01T16:15:49.928363917Z,0,success,311391,glm-4.7,claude-code-glm-4.7,39,16884,1607549,,False,,
domchk-2125075e,2026-09-07T06:19:01.112902580Z,1,failure,1958963,glm-5.3-flash,claude-code-glm-5.3-flash,107,54049,11472507,,False,,
domchk-21310c3b,2026-09-02T06:46:01.263018073Z,0,success,710499,glm-4.7,claude-code-glm-4.7,42,27093,2331644,,False,,
domchk-21fb2ceb,2026-09-06T17:01:16.540729821Z,0,success,3318245,glm-5.3-flash,claude-code-glm-5.3-flash,66,69665,6712614,,False,,
domchk-221cb3aa,2026-09-06T17:29:13.896715410Z,0,success,1307891,glm-5.3-flash,claude-code-glm-5.3-flash,45,22738,2704471,,False,,
domchk-2222ea44,2026-09-07T10:53:48.147365995Z,0,success,975565,glm-5.3-flash,claude-code-glm-5.3-flash,68,35456,5662539,,False,,
domchk-224ee354,2026-09-06T23:13:07.145922276Z,0,success,718989,glm-5.3-flash,claude-code-glm-5.3-flash,54,32507,5610875,,False,,
domchk-22726523,2026-09-01T15:42:11.339866547Z,0,success,166019,glm-4.7,claude-code-glm-4.7,18,7214,1308539,,False,,
domchk-22880da5,2026-09-01T19:42:30.328976289Z,0,success,326648,glm-4.7,claude-code-glm-4.7,11,4463,1379741,,False,,
domchk-22a432e6,2026-09-02T09:20:41.246737497Z,0,success,180008,glm-4.7,claude-code-glm-4.7,18,10705,935246,,False,,
domchk-22bdf091,2026-09-01T22:51:56.814829159Z,0,success,237851,glm-4.7,claude-code-glm-4.7,19,6102,731155,,False,,
domchk-2330bec7,2026-09-07T14:36:31.455442280Z,0,success,1418391,glm-5.3-flash,claude-code-glm-5.3-flash,94,54961,9405411,,False,,
domchk-237118b2,2026-09-02T07:34:16.643850546Z,0,success,201224,glm-4.7,claude-code-glm-4.7,25,12434,955124,,False,,
domchk-23854830,2026-09-01T21:53:17.967743862Z,0,success,93868,glm-4.7,claude-code-glm-4.7,12,4233,451231,,False,,
domchk-23a7ea98,2026-09-02T04:45:29.573109109Z,0,success,877774,glm-4.7,claude-code-glm-4.7,79,50815,2701580,,False,,
domchk-24000fd4,2026-09-02T10:10:37.895316734Z,0,success,75858,glm-4.7,claude-code-glm-4.7,13,3583,409762,,False,,
domchk-24032f23,2026-09-02T15:16:54.918790939Z,0,success,337294,glm-4.7,claude-code-glm-4.7,24,12760,2243854,,False,,
domchk-24a8d686,2026-09-02T03:57:46.679755545Z,0,success,676902,glm-4.7,claude-code-glm-4.7,26,9573,3925503,,False,,
domchk-250281a0,2026-09-02T02:11:43.842514895Z,0,success,164578,glm-4.7,claude-code-glm-4.7,31,13113,1070347,,False,,
domchk-252a54f5,2026-09-02T18:10:15.471709285Z,1,failure,1661605,glm-4.7,claude-code-glm-4.7,2,306,8958,,False,,
domchk-2539cf8c,2026-09-02T17:37:12.999839992Z,1,failure,1661730,glm-4.7,claude-code-glm-4.7,2,308,8960,,False,,
domchk-255e008e,2026-09-02T07:55:23.995977409Z,0,success,18481,glm-4.7,claude-code-glm-4.7,1,136,271782,,False,,
domchk-255f4fc1,2026-09-02T12:51:50.961989372Z,0,success,922312,glm-4.7,claude-code-glm-4.7,53,22462,2922278,,False,,
domchk-25712310,2026-09-02T04:39:48.552699203Z,1,failure,471459,glm-4.7,claude-code-glm-4.7,0,0,861360,,False,,
domchk-25ef2cf4,2026-09-01T16:05:12.942449244Z,0,success,341247,glm-4.7,claude-code-glm-4.7,32,27083,3282887,,False,,
domchk-260a1ea8,2026-09-02T06:06:46.310241424Z,1,failure,767478,glm-4.7,claude-code-glm-4.7,37,13127,1367026,,False,,
domchk-2613be6d,2026-09-02T09:37:35.326259191Z,0,success,373584,glm-4.7,claude-code-glm-4.7,21,10712,819032,,False,,
